Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
2010,72000,,Manual,First,,998,58.16,5,1.75
2015,41000,Diesel,Manual,First,19.67,1582,126.2,5,12.5
2011,46000,Petrol,Manual,First,18.2,1199,88.7,5,4.5
2012,87000,Diesel,Manual,First,20.77,1248,88.76,7,6
2013,40670,Diesel,Automatic,Second,15.2,1968,140.8,5,17.74
2012,75000,,Manual,First,,814,55.2,5,2.35
2013,86999,Diesel,Manual,First,23.08,1461,63.1,5,3.5
2016,36000,Diesel,Automatic,First,11.36,2755,171.5,8,17.5
2013,64430,Diesel,Manual,First,20.54,1598,103.6,5,5.2
2012,65932,Diesel,Manual,Second,22.3,1248,74,5,1.95
2018,25692,Petrol,Manual,First,21.56,1462,103.25,5,9.95
2012,60000,Petrol,Automatic,First,16.8,1497,116.3,5,4.49
2015,64424,Diesel,Manual,First,25.2,1248,74,5,5.6
2014,72000,Diesel,Automatic,First,12.7,2179,187.7,5,27
2012,85000,Diesel,Automatic,Second,,2179,115,5,17.5
2014,110000,Diesel,Manual,First,13.5,2477,175.56,7,15
2016,58950,Diesel,Manual,First,25.8,1498,98.6,5,5.4
2017,25000,Diesel,Manual,First,28.4,1248,74,5,5.99
2014,77469,Diesel,Manual,First,20.45,1461,83.8,5,6.34
2014,78500,Diesel,Automatic,First,14.84,2143,167.62,5,28
2014,32982,Diesel,Automatic,First,22.69,1995,190,5,18.55
2015,55392,Diesel,Manual,Second,23.65,1248,88.5,5,8.25
2015,55985,Petrol,Automatic,First,13.53,1984,177.01,5,23.5
2010,45807,Petrol,Manual,First,18.5,1197,80,5,1.87
2010,33000,Petrol,Automatic,First,14.4,1598,103.6,5,2.85
2012,51920,Petrol,Manual,First,16.8,1497,116.3,5,4.25
2012,54000,Diesel,Manual,First,23.08,1461,63.1,5,4.25
2013,54000,Petrol,Manual,Second,20.92,998,67.1,5,2.75
2018,37430,Petrol,Manual,First,17.5,1199,88.7,5,9.9
2007,262000,Diesel,Manual,Fourth & Above,12.8,2494,102,7,4
2013,62000,Diesel,Manual,First,19.01,1461,108.45,5,7.75
2012,87615,Petrol,Manual,First,14.53,1798,138.1,5,6.75
2013,72000,Diesel,Automatic,Second,11.18,2696,184,7,12.5
2010,35000,Diesel,Automatic,First,12.4,2698,179.5,5,11.5
2014,55431,Petrol,Manual,Second,16.09,1598,103.5,5,6.98
2009,83816,Petrol,Manual,Second,14,1061,64,5,1.85
2018,50075,Diesel,Manual,First,24.3,1248,88.5,5,8.63
2017,52000,Petrol,Manual,First,18.15,1198,82,5,4.85
2013,85000,Diesel,Automatic,First,11.74,2987,254.8,5,28
2013,62000,Diesel,Manual,First,22.07,1199,73.9,5,5
2008,90000,Petrol,Manual,Second,19.7,796,46.3,5,1.25
2014,19698,Petrol,Manual,First,25.4,624,37.5,4,1.53
2017,22033,Diesel,Manual,First,25.32,1198,77,6,5.58
2014,35487,Petrol,Manual,First,18.5,1197,82.9,5,4.74
2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5,8.85
2016,52001,Petrol,Automatic,First,14.28,1798,138.03,5,10.11
2008,58005,Diesel,Manual,Second,14.9,1991,112.2,5,4.25
2012,70704,Petrol,Manual,First,11.25,2694,163.7,7,10.95
2014,75000,Diesel,Manual,First,24.4,1120,71,5,3.85
2012,75800,Diesel,Manual,Second,16.55,2498,105,6,5.5
2015,13648,Diesel,Automatic,First,17.11,1968,174.33,5,21.43
2014,52000,Diesel,Manual,First,22.9,1248,74,5,4.25
2014,53000,Diesel,Manual,First,17.8,1248,75,5,3.3
2013,65650,Diesel,Manual,First,28.4,1248,74,5,3.85
2015,54000,Petrol,Manual,Third,18.9,1197,82,5,3.6
2015,39000,Petrol,Manual,First,15.04,1598,103.2,5,3.99
2017,16542,Petrol,Manual,First,25.17,799,53.3,5,3.3
2010,32000,Petrol,Manual,First,20.36,1197,78.9,5,2.07
2010,121812,Diesel,Automatic,First,13.29,1995,147.6,5,7.75
2010,39300,Petrol,Manual,First,18.2,998,67.1,5,2.25
2017,22000,Diesel,Manual,First,13.68,2393,147.8,8,16.5
2010,72000,Diesel,Manual,First,20,1399,68,5,2.75
2015,58000,Petrol,Automatic,First,11.74,1796,186,5,26.7
2011,65000,Diesel,Manual,Second,15.8,2148,170,5,10
2016,178000,Diesel,Manual,First,25,1396,69,5,2.5
